VideoName,PredictedLabel
T1-H-0.mp4,0
T1-H-1.mp4,1
T1-H-2.mp4,2
T1-H-3.mp4,3
T1-H-4.mp4,4
T1-H-5.mp4,5
T1-H-6.mp4,6
T1-H-7.mp4,7
T1-H-8.mp4,8
T1-H-9.mp4,9
T1-H-DecreaseFanSpeed.mp4,7
T1-H-FanOff.mp4,14
T1-H-FanOn.mp4,12
T1-H-IncreaseFanSpeed.mp4,13
T1-H-LightOff.mp4,14
T1-H-LightOn.mp4,15
T1-H-SetThermo.mp4,16
T2-H-0.mp4,0
T2-H-1.mp4,1
T2-H-2.mp4,2
T2-H-3.mp4,3
T2-H-4.mp4,4
T2-H-5.mp4,12
T2-H-6.mp4,6
T2-H-7.mp4,5
T2-H-8.mp4,1
T2-H-9.mp4,10
T2-H-FanOff.mp4,11
T2-H-FanOn.mp4,12
T2-H-IncreaseFanSpeed.mp4,13
T2-H-LightOff.mp4,14
T2-H-LightOn.mp4,15
T2-H-SetThermo.mp4,16
T3-H-0.mp4,0
T3-H-1.mp4,11
T3-H-2.mp4,2
T3-H-3.mp4,3
T3-H-4.mp4,4
T3-H-5.mp4,5
T3-H-6.mp4,6
T3-H-7.mp4,7
T3-H-8.mp4,8
T3-H-9.mp4,9
T3-H-DecereaseFanSpeed.mp4,8
T3-H-FanOff.mp4,11
T3-H-FanOn.mp4,10
T3-H-IncreaseFanSpeed.mp4,13
T3-H-LightOff.mp4,9
T3-H-LightOn.mp4,15
T3-H-SetThermo.mp4,16
